dataset, n_shots, random_seed, roc_auc, accuracy
bank, 4, 14, 0.3889383517858749, 0.673995047557335
bank, 4, 26, 0.42984032234165137, 0.5347018120386012
bank, 4, 42, 0.4182603947001269, 0.7660780819698688
bank, 4, 58, 0.4874142893420306, 0.17736224572446832
bank, 4, 97, 0.4594468291917122, 0.2788873203582421
bank, 8, 14, 0.4756295229879855, 0.7583948531623892
bank, 8, 26, 0.42777176190326577, 0.7000995116984101
bank, 8, 42, 0.445864102690926, 0.5892249658651733
bank, 8, 58, 0.6147954894732219, 0.7099349702622018
bank, 8, 97, 0.513190085700548, 0.3042975168359908
bank, 16, 14, 0.6494712061857776, 0.6853810372358891
bank, 16, 26, 0.6180407954061047, 0.600356390733841
bank, 16, 42, 0.7592565436763378, 0.5324338710050681
bank, 16, 58, 0.6925059900378778, 0.735622873805281
bank, 16, 97, 0.6590073765578325, 0.4639559371456342
bank, 32, 14, 0.7921720545640681, 0.6823494017726968
bank, 32, 26, 0.6471488954346304, 0.6110249704936243
bank, 32, 42, 0.8460573226949307, 0.7507810511212423
bank, 32, 58, 0.7255511887323102, 0.729166184536345
bank, 32, 97, 0.6973692516815501, 0.535210941658374
bank, 64, 14, 0.8418887830883035, 0.7670963412094143
bank, 64, 26, 0.8089174961781656, 0.7659623706926477
bank, 64, 42, 0.878104188655889, 0.8410358473536831
bank, 64, 58, 0.8229967734105053, 0.8023419962509546
bank, 64, 97, 0.7985055727805545, 0.732290389021314
blood, 4, 14, 0.6972008673368815, 0.5267379679144385
blood, 4, 26, 0.2853735462251133, 0.2807486631016043
blood, 4, 42, 0.6370392272816874, 0.5320855614973262
blood, 4, 58, 0.7332347723240686, 0.7700534759358288
blood, 4, 97, 0.39394835403114525, 0.30213903743315507
blood, 8, 14, 0.6763847821801696, 0.6497326203208557
blood, 8, 26, 0.683599448058348, 0.7593582887700535
blood, 8, 42, 0.6180366646954465, 0.4919786096256685
blood, 8, 58, 0.7355608121427163, 0.6978609625668449
blood, 8, 97, 0.5303173664498324, 0.6229946524064172
blood, 16, 14, 0.6933767001774098, 0.6229946524064172
blood, 16, 26, 0.742775478020895, 0.23796791443850268
blood, 16, 42, 0.5898087916420264, 0.5481283422459893
blood, 16, 58, 0.6915631776069388, 0.6390374331550802
blood, 16, 97, 0.5297260003942441, 0.3689839572192513
blood, 32, 14, 0.7093830080820028, 0.5614973262032086
blood, 32, 26, 0.7288192391090086, 0.23796791443850268
blood, 32, 42, 0.5574413561994875, 0.5374331550802139
blood, 32, 58, 0.669091267494579, 0.5882352941176471
blood, 32, 97, 0.6261975162625666, 0.4839572192513369
blood, 64, 14, 0.7705302582298443, 0.6363636363636364
blood, 64, 26, 0.7365464222353637, 0.6844919786096256
blood, 64, 42, 0.7588606347328998, 0.6203208556149733
blood, 64, 58, 0.6944805834811749, 0.6577540106951871
blood, 64, 97, 0.7541297062881923, 0.6631016042780749
calhousing, 4, 14, 0.6467742462177465, 0.6021894093686354
calhousing, 4, 26, 0.5452196554993642, 0.47041751527494907
calhousing, 4, 42, 0.5982809863129911, 0.560030549898167
calhousing, 4, 58, 0.4903399626376578, 0.5036659877800407
calhousing, 4, 97, 0.732901541350354, 0.6669042769857434
calhousing, 8, 14, 0.6912018701268124, 0.6481670061099797
calhousing, 8, 26, 0.5301752914121978, 0.5131873727087576
calhousing, 8, 42, 0.7190725261598047, 0.6415478615071283
calhousing, 8, 58, 0.556342608989131, 0.5291242362525458
calhousing, 8, 97, 0.7994303387126428, 0.7208757637474542
calhousing, 16, 14, 0.8214846399484174, 0.725
calhousing, 16, 26, 0.8951408038819655, 0.7675661914460286
calhousing, 16, 42, 0.8364216127338375, 0.7554989816700611
calhousing, 16, 58, 0.7694845708015267, 0.7047352342158859
calhousing, 16, 97, 0.8257793068721069, 0.7460794297352342
calhousing, 32, 14, 0.8791881765121846, 0.7793279022403259
calhousing, 32, 26, 0.8842908810588344, 0.7880346232179226
calhousing, 32, 42, 0.8353313255501462, 0.759928716904277
calhousing, 32, 58, 0.8279324526963145, 0.7607942973523422
calhousing, 32, 97, 0.9045356450821593, 0.8220468431771895
calhousing, 64, 14, 0.8898975552726884, 0.8093177189409368
calhousing, 64, 26, 0.9077998802290403, 0.8226069246435845
calhousing, 64, 42, 0.8777670668769376, 0.7871181262729124
calhousing, 64, 58, 0.8697503518293973, 0.799643584521385
calhousing, 64, 97, 0.8896538819617156, 0.8129837067209776
heart, 4, 14, 0.5786633378144804, 0.5577342047930284
heart, 4, 26, 0.402535048972537, 0.5642701525054467
heart, 4, 42, 0.6654311503744959, 0.6013071895424836
heart, 4, 58, 0.5452467831764931, 0.5076252723311547
heart, 4, 97, 0.656884962550413, 0.681917211328976
heart, 8, 14, 0.7294795467639716, 0.5729847494553377
heart, 8, 26, 0.7255617438064144, 0.6361655773420479
heart, 8, 42, 0.5712118302285385, 0.5010893246187363
heart, 8, 58, 0.8048204340311118, 0.6579520697167756
heart, 8, 97, 0.7857691569041675, 0.6557734204793029
heart, 16, 14, 0.8296523910120992, 0.7647058823529411
heart, 16, 26, 0.8724985596312655, 0.803921568627451
heart, 16, 42, 0.728365661609372, 0.6296296296296297
heart, 16, 58, 0.8601882081812944, 0.7559912854030502
heart, 16, 97, 0.8915882465911273, 0.8082788671023965
heart, 32, 14, 0.8456884962550412, 0.7538126361655774
heart, 32, 26, 0.8908968695986172, 0.8278867102396514
heart, 32, 42, 0.8640099865565585, 0.7908496732026143
heart, 32, 58, 0.8487612828884195, 0.7407407407407407
heart, 32, 97, 0.8888419435375456, 0.7930283224400871
heart, 64, 14, 0.8897829844440176, 0.8169934640522876
heart, 64, 26, 0.9014595736508548, 0.8191721132897604
heart, 64, 42, 0.8989053197618591, 0.8169934640522876
heart, 64, 58, 0.8608987900902632, 0.7843137254901961
heart, 64, 97, 0.9061839830996735, 0.8453159041394336
